dataset,workload,nodes,edges,threads,run_id,is_warmup,stage,category,time_ms,in_wall_clock
patents,snap,3774768,16518948,64,1,1,unionWith (final),ONLINE,13.970,1
patents,snap,3774768,16518948,64,1,1,CSV write,IO,6987.370,1
patents,snap,3774768,16518948,64,2,0,CSV read (account),IO,1376.440,1
patents,snap,3774768,16518948,64,2,0,CSV read (txn),IO,13394.260,1
patents,snap,3774768,16518948,64,2,0,buildNodeIndex,OFFLINE,4367.510,1
patents,snap,3774768,16518948,64,2,0,index copy (src),OFFLINE,533.680,1
patents,snap,3774768,16518948,64,2,0,initProbeSide (dst),OFFLINE,548.280,0
patents,snap,3774768,16518948,64,2,0,initProbeSide (src),OFFLINE,552.720,0
patents,snap,3774768,16518948,64,2,0,initProbeSide (wall),OFFLINE,553.500,1
patents,snap,3774768,16518948,64,2,0,deduplicateRows (src),ONLINE,14.880,0
patents,snap,3774768,16518948,64,2,0,deduplicateRows (dst),ONLINE,15.610,0
patents,snap,3774768,16518948,64,2,0,probe dst,ONLINE,1511.890,0
patents,snap,3774768,16518948,64,2,0,probe src,ONLINE,1519.980,0
patents,snap,3774768,16518948,64,2,0,reduplicateRows (dst),ONLINE,32.470,0
patents,snap,3774768,16518948,64,2,0,reduplicateRows (src),ONLINE,34.070,0
patents,snap,3774768,16518948,64,2,0,unionWith (dst),ONLINE,18.380,0
patents,snap,3774768,16518948,64,2,0,unionWith (src),ONLINE,21.990,0
patents,snap,3774768,16518948,64,2,0,src branch (total),ONLINE,1590.940,0
patents,snap,3774768,16518948,64,2,0,parallel_sort (dst),ONLINE,404.430,0
patents,snap,3774768,16518948,64,2,0,dst branch (total),ONLINE,1982.880,0
patents,snap,3774768,16518948,64,2,0,parallel branches (wall),ONLINE,2020.700,1
patents,snap,3774768,16518948,64,2,0,unionWith (final),ONLINE,13.790,1
patents,snap,3774768,16518948,64,2,0,CSV write,IO,6993.090,1
patents,snap,3774768,16518948,64,3,0,CSV read (account),IO,1380.000,1
patents,snap,3774768,16518948,64,3,0,CSV read (txn),IO,13311.670,1
